"c(rep(""invierno"", 4), rep(""primavera"", 4), rep(""verano"", 4), "	"rep(c(""8:00"", ""9:00"", ""11:00"", ""15:00""), 4)"	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22																				
		11	12	13	14	15	16	17	18	19	20	21	22																				
invierno	8:00	17.879	17.818	17.73	17.673	17.598	17.541	17.488	17.462	17.277	17.101	17	16.921																				
invierno	9:00	0	17.936	17.848	17.844	17.774	17.721	17.668	17.642	17.457	17.277	17.18	17.101																				
invierno	11:00	0	0	0	17.967	17.906	17.879	17.853	17.8	17.594	17.413	17.317	17.238																				
invierno	15:00	0	0	0	0	0	0	0	17.919	17.699	17.514	17.418	17.334																				
primavera	8:00	17.949	17.857	17.791	17.703	17.62	17.378	17.128	16.899	16.754	16.754	16.534	16.297																				
primavera	9:00	0	17.906	17.844	17.804	17.725	17.488	17.238	17.005	16.864	16.86	16.64	16.403					invierno	invierno	invierno	invierno	primavera	primavera	primavera	primavera	verano	verano	verano	verano	oto?	oto?	oto?	oto?
primavera	11:00	0	0	0	17.963	17.897	17.686	17.444	17.224	17.084	17.079	16.855	16.614					8:00	9:00	11:00	15:00	8:00	9:00	11:00	15:00	8:00	9:00	11:00	15:00	8:00	9:00	11:00	15:00
primavera	15:00	0	0	0	0	0	0	0	17.963	17.945	17.919	17.664	17.365				11	17.879	0	0	0	17.949	0	0	0	17.853	0	0	0	17.954	0	0	0
verano	8:00	17.853	17.84	17.813	17.747	17.642	17.594	17.585	17.576	17.444	17.308	17.207	17.128				12	17.818	17.936	0	0	17.857	17.906	0	0	17.84	17.853	0	0	17.941	17.985	0	0
verano	9:00	0	17.853	17.831	17.778	17.673	17.624	17.615	17.607	17.475	17.343	17.242	17.163				13	17.73	17.848	0	0	17.791	17.844	0	0	17.813	17.831	0	0	17.941	17.98	0	0
verano	11:00	0	0	0	17.927	17.818	17.774	17.76	17.752	17.62	17.488	17.387	17.308				14	17.673	17.844	17.967	0	17.703	17.804	17.963	0	17.747	17.778	17.927	0	17.927	17.967	17.976	0
verano	15:00	0	0	0	0	0	0	0	17.963	17.826	17.699	17.58	17.523				15	17.598	17.774	17.906	0	17.62	17.725	17.897	0	17.642	17.673	17.818	0	17.901	17.936	17.945	0
oto?	8:00	17.954	17.941	17.941	17.927	17.901	17.787	17.651	17.576	17.558	17.391	17.123	17.097				16	17.541	17.721	17.879	0	17.378	17.488	17.686	0	17.594	17.624	17.774	0	17.787	17.831	17.844	0
oto?	9:00	0	17.985	17.98	17.967	17.936	17.831	17.695	17.624	17.607	17.44	17.167	17.141				17	17.488	17.668	17.853	0	17.128	17.238	17.444	0	17.585	17.615	17.76	0	17.651	17.695	17.717	0
oto?	11:00	0	0	0	17.976	17.945	17.844	17.717	17.655	17.637	17.466	17.194	17.167				18	17.462	17.642	17.8	17.919	16.899	17.005	17.224	17.963	17.576	17.607	17.752	17.963	17.576	17.624	17.655	17.949
oto?	15:00	0	0	0	0	0	0	0	17.949	17.897	17.686	17.387	17.361				19	17.277	17.457	17.594	17.699	16.754	16.864	17.084	17.945	17.444	17.475	17.62	17.826	17.558	17.607	17.637	17.897
																	20	17.101	17.277	17.413	17.514	16.754	16.86	17.079	17.919	17.308	17.343	17.488	17.699	17.391	17.44	17.466	17.686
																	21	17	17.18	17.317	17.418	16.534	16.64	16.855	17.664	17.207	17.242	17.387	17.58	17.123	17.167	17.194	17.387
																	22	16.921	17.101	17.238	17.334	16.297	16.403	16.614	17.365	17.128	17.163	17.308	17.523	17.097	17.141	17.167	17.361
